KATEGORI,PERTANYAAN,JAWABAN,REFERENSI
Pemberdayaan Ekonomi Keluarga,"Apa mekanisme seleksi peserta program pemberdayaan ekonomi? Adakah prioritas untuk kelompok rentan seperti perempuan kepala keluarga, penyandang disabilitas, atau keluarga miskin?","Program Usaha Peningkatan Pendapatan Keluarga Sejahtera (UPPKS) dari BKKBN menyasar keluarga pra sejahtera dan keluarga sejahtera I, termasuk perempuan kepala keluarga, penyandang disabilitas, dan keluarga miskin. Mekanisme seleksi dilakukan melalui identifikasi oleh kader dan fasilitator di lapangan, dengan mempertimbangkan kondisi sosial-ekonomi dan potensi peserta dalam menjalankan usaha ekonomi produktif.​
Yo Sakurga","Buku Saku Pemberdayaan Ekonomi Keluarga​. Tim Direktorat Pemberdayaan
Ekonomi Keluarga BKKBN (2015)"
Pemberdayaan Ekonomi Keluarga,Apakah ada pelatihan manajemen usaha kecil dan literasi keuangan sebelum pemberian bantuan modal?,"Ya, BKKBN menyediakan pelatihan manajemen usaha kecil dan literasi keuangan melalui program UPPKS. Pelatihan ini mencakup pengelolaan usaha mikro, perencanaan keuangan, dan strategi pemasaran untuk meningkatkan kapasitas peserta dalam menjalankan usaha secara mandiri dan berkelanjutan.","Buku Saku Pemberdayaan Ekonomi Keluarga​. Tim Direktorat Pemberdayaan
Ekonomi Keluarga BKKBN (2015)"
Pemberdayaan Ekonomi Keluarga,Bagaimana BKKBN menangani kegagalan usaha peserta? Apakah ada bantuan ulang atau perbaikan strategi?,"Dalam menghadapi kegagalan usaha peserta, BKKBN melalui program UPPKS memberikan pendampingan dan pembinaan lanjutan. Langkah-langkah ini meliputi evaluasi usaha, pelatihan ulang, dan fasilitasi akses ke sumber daya tambahan untuk membantu peserta memperbaiki strategi usaha mereka.","Buku Saku Pemberdayaan Ekonomi Keluarga​. Tim Direktorat Pemberdayaan
Ekonomi Keluarga BKKBN (2015)"
Pemberdayaan Ekonomi Keluarga,Bagaimana keterlibatan masyarakat dalam merancang program pemberdayaan ekonomi ini? Apakah masyarakat hanya sebagai penerima manfaat atau juga ikut merancang?,"Masyarakat tidak hanya sebagai penerima manfaat, tetapi juga terlibat aktif dalam perencanaan dan pelaksanaan program pemberdayaan ekonomi. Melalui pendekatan partisipatif, BKKBN mendorong masyarakat untuk berperan dalam identifikasi kebutuhan, perencanaan kegiatan, dan evaluasi program, sehingga program lebih sesuai dengan kondisi dan potensi lokal.","Prasetyo, J. A., & Kiranantika, A. (2020). Partisipasi Masyarakat dalam Pelaksanaan Program Keluarga Sejahtera di Kampung KB. Sosietas: Jurnal Pendidikan Sosiologi, 10(2), 834–840. https://doi.org/10.17509/sosietas.v10i2.30100"
Stunting,Bagaimana mengukur status gizi yang buruk pada calon pengantin?,Status Gizi Buruk dapat diketahui melalui Pengukuran Lingkar Lengan Atas (LILA) dan Indeks Massa Tubuh (IMT),Buku Panduan Mempersiapkan Pernikahan dan Kehamilan bagi Calon Pengantin untuk Mencegah Stunting.Direktorat Bina Ketahanan Keluarga. BKKBN
"Stunting, Keluarga Berencana",Apa itu 4 Terlalu ?,1.Terlalu Muda; 2. Terlalu Tua; 3. Terlalu Banyak; 4.Terlalu Dekat,Buku Panduan Mempersiapkan Pernikahan dan Kehamilan bagi Calon Pengantin untuk Mencegah Stunting.Direktorat Bina Ketahanan Keluarga. BKKBN
BKR,Bagaimana strategi  pola pengasuhan Remaja,"Strategi dalam membimbing anak remaja agar mereka tetap merasa aman dan nyaman dengan gaya pengasuhan orang tuanya : 
1, Tentukan batasan yang harus dipatuhi
2, Dengarkan apa yang ingin mereka sampaikan dan cobalah untuk tidak menginterupsi sampai mereka selesai berbicara
3, Biarkan mereka belajar dari kesalahan mereka sendiri (selama mereka aman)
4, Jangan tutupi kekhawatiran Anda, melainkan cobalah berbicara dengan tenang dan arahkan mereka pada informasi yang bermanfaat
5, Biarkan mereka memiliki ruang dan privasi mereka sendiri",hallosehat.com. Diakses tgl 28 April 2025
BKR,Apa pengertia 8 fungsi keluarga?,"8 Fungsi Keluarga merupakan
fungsi-fungsi yang diterapkan oleh seluruh anggota keluarga
sesuai dengan perannya, agar keluarga tersebut dapat
membentuk pribadi berkarakter yang baik, badan yang sehat,
berkemampuan, mandiri, andal dan bahagia
","Modul Training Of Trainer (Tot)
Pelatihan Teknis Bina Keluarga Balita
Eliminasi Masalah Anak Stunting
(Bkb Emas)
Bagi Fasilitator Tingkat Provinsi 2023
"
BKR,Apa Nilai-nilai Fungsi Agama dalam 8 fungsi keluarga?,"1) Iman
Seluruh anggota keluarga mempercayai
adanya Allah SWT, Tuhan Yang Maha Esa
dan mengamalkan ajarannya.
2) Taqwa
Seluruh anggota keluarga mengamalkan segala
sesuatu yang diperintahkan dan menghindari
segala yang dilarang Allah SWT.
3) Kejujuran
Seluruh anggota keluarga dapat menyampaikan
hal apapun secara apa adanya sesuai dengan
kenyataan.
4) Tenggang rasa
Seluruh anggota keluarga mempunyai
kesadaran bahwa setiap orang berbeda dalam
sifat dan karakternya.
5) Rajin
Seluruh anggota Keluarga menyediakan waktu
dan tenaga untuk menyelesaikan tugasnya dengan berusaha untuk mendapatkan hasil
secara tepat waktu dan yang terbaik.
6) Kesalehan
Seluruh anggota keluarga memiliki nilai moral
yang tinggi dengan melakukan sesuatu yang
benar secara konsisten
7) Ketaatan
Seluruh anggota keluarga dapat melaksanakan
tugas dan tanggung jawabnya dengan segera
dan senang hati.
8) Suka membantu
Seluruh anggota keluarga memiliki kebiasaan
menolong dan membantu orang lain tanpa
mengharapkan imbalan.
9) Disiplin
Seluruh anggota keluarga menepati waktu dan
mematuhi aturan yang telah disepakati.
10) Sopan santun
Seluruh anggota keluarga berperilaku sesuai
dengan norma-norma dan nilai-nilai agama.
11) Sabar dan Ikhlas
Seluruh anggota keluarga mempunyai
kemampuan untuk menahan diri dalam
menginginkan sesuatu serta dalam menghadapi
kesulitan.
12) Kasih sayang
Seluruh anggota keluarga mampu ungkapan
perasaan dengan penuh perhatian, kesadaran
dan kecintaan terhadap seseorang
","Modul Training Of Trainer (Tot)
Pelatihan Teknis Bina Keluarga Balita
Eliminasi Masalah Anak Stunting
(Bkb Emas)
Bagi Fasilitator Tingkat Provinsi 2023
"
Bangga Kencana,Apa itu SIGA?,"Sistem Informasi Keluarga yang selanjutnya disebut
SIGA adalah seperangkat tatanan yang meliputi Data,
informasi, indikator, prosedur, perangkat, teknologi
dan sumber daya manusia yang saling berkaitan dan
dikelola secara terpadu untuk mengarahkan tindakan
atau keputusan yang berguna dalam mendukung
pembangunan Keluarga",Peraturan BKKBN RI Nomor 19 Tahun 2023 tentang Satu Data Keluarga Melalui Sistem Informasi Keluarga
Bangga Kencana,Apa itu Verval KRS?,"Pemutakhiran, Verifikasi dan Validasi Data Keluarga Berisiko Stunting dapat diartikan sebagai proses pelaksanaan kegiatan membandingkan data keluarga berisiko stunting yang bersumber dari hasil Pendataan Keluarga dan pemutakhirannya dengan kondisi terkini di lapangan agar data yang digunakan sebagai peta kerja pendampingan keluarga adalah data yang terakhir dan terbaru","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Apa itu Keluarga Beresiko Stunting?,Keluarga sasaran yang memiliki faktor risiko untuk melahirkan anak stunting,"Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Siapa keluarga sasaran Verval KRS?,"Keluarga sasaran Verval Risiko adalah :
1. Pasangan Usia Subur
2. Ibu Hamil
3. Keluarga dengan anak usia 0-23 bulan
4. Keluarga dengan anak usia 24-59 bulan","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Apa alamat website SIGA?,https://siga.bkkbn.go.id/,https://siga.bkkbn.go.id/
Bangga Kencana,Apa saja jenis user SIGA,"Administrator, Operator, Supervisor","Sumber : Pengumpulan dan Pengolahan Data Uji Coba di Kampung KB Percontohan dan Pre-Implementasi New SIGA 2021, Ditlaptik BKKBN Tahun 2021"
Bangga Kencana,Apa saja tahapan Verval KRS?,"1. Persiapan 
    a. Penyusunan Panduan
    b. Penyiapan Cetak Output
    c. Cetak Output
    d. Sosialisasi/Orientasi
2. Pengorganisasian Lapangan
3. Pekaksanaan 
    a. Identifikasi Sasaran
    b. Pengumpulan Data
    c. Pengolahan Data","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Siapa saja SDM Pelaksana Verval KRS?,"A. Tingkat Pusat
    1. BKKBN
    2. Mitra kerja terkait :
        - Pemerintah
        - Non Pemerintah
B. Tingkat Provinsi
     1. Perwakilan BKKBN Provinsi
     2. Mitra kerja terkait :
         - Pemerintah
         - Non Pemerintah
C. Tingkat Kabupaten/Kota :
     1. Perangkat Daerah/PD KB
     2. Mitra Kerja terkait :
         - Pemerintah
         - Non Pemerintah
D. Tingkat Lini Lapangan :
     1. Kepala UPT KB/Koordinator PKB
     2. PKB/PLKB
     3. Tim Pendamping Keluarga/Kader KB Lainnya
     4. Mitra Kerja Terkait","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Siapa saja SDM Verval KRS di lini lapangan?,"1. Verifikator Kecamatan
2. Pengolah Data
3. Pengumpul Data","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Siapakah Verifikator Kecamatan?,"Verifikator Kecamatan adalah seseorang yang bertugas untuk memastikan proses manajemen data pelaksanaan pemutakhiran, verifikasi dan validasi keluarga beresiko stunting (pengumpulan, pemeriksaan, pengolahan dan pemberian umpan balik) di kecamatan yang menjadi tanggung jawabnya. Verifikator Kecamatan ditunjuk dan ditetapkan oleh PD KB Kabupaten/Kota melalui Surat Keputusan yang dapat berasal dari unsur :
1. Kepala UPT KB/Koordinator KB
2. Penyuluh KB
3. Petugas Lapangan KB PNS/Non PNS
4. Petugas Kecamatan/mitra yang terlatih","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Apa tugas pokok Verifikator Kecamatan?,"Tugas Pokok Verfikator Kecamatan adalah sebagai berikut :
 1) Mengoordinasikan perencanaan pelaksanaan Verifikasi dan Validasi KRS kepada camat
 2) Melakukan pengorganisasian lapangan Verifikasi dan Validasi KRS
 3) Melakukan pengelolaan administrasi serta distribusi sarana dan prasarana
 4) Melakukan pembinaan, pemantauan, evaluasi dan pengawasan pelaksanaan Verifikasi dan Validasi KRS
 5) Membentuk tim pengolah data yang ditetapkan melalui Surat Keputusan PD KB Kabupaten dan Kota dengan mempertimbangkan jumlah pengolah data dengan jumlah data yang diolah serta jangka waktu pelaksanaan Verifikasi dan Validasi Keluarga Berisiko Stunting yang ditetapkan
 6) Melakukan persetujuan/ approval terhadap data yang akan dikirim ke server setelah dilakukan pemeriksaan data berdasarkan laporan hasil pelaksanaan pengolahan data oleh Pengolah Data.","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Siapakah Pengolah Data?,"Pengolah Data adalah seseorang yang menjalankan fungsi pengolahan data dalam pelaksanaan Verifikasi dan Validasi Keluarga Beresiko Stunting serta memastikan data yang terkumpul di tingkat desa/kelurahan telah benar dan lengkap. Pengolah Data ditunjuk oleh Verifikator Kecamatan dan ditetapkan dengan SK PD KB Kabupaten/Kota yang dapat berasal dari unsur :
1. Pejabat Fungsional Penyuluh KB
2. Petugas Lapangan KB PNS/Non PNS
3. Mitra Kerja terkait Lainnya","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Apa tugas pokok Pengolah Data,"Tugas Pokok Pengolah Data adalah sebagai berikut :
 1) Registrasi Ketua tim pengumpul data, Ketua tim pengolah data dan Verifikator sesuai SK Pengorganisasian Verifikasi dan Validasi Keluarga Berisiko Stunting Tahun 2023
 2) Memvalidasi formulir terisi hasil pendataan oleh Pengumpul data
 3) Mengoordinir proses penginputan data yang dilakukan oleh pengumpul data
 4) Melakukan input data bagi wilayah yang menggunakan formulir
 5) Memasukkan rekapitulasi hasil Verval KRS per Desa ke aplikasi
 6) Melakukan pelaporan perkembangan pelaksanaan verifikasi dan validasi keluarga berisiko stunting di desa/kelurahan sesuai kecamatan yang menjadi wilayahnya kepada verifikator kecamatan","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Siapakah Pengumpul Data?," Pengumpul Data adalah orang atau kumpulan orang yang sukarela berperan aktif melaksanakan/
 mengelola Program Bangga Kencana dalam hal ini pelaksanaan Verifikasi dan Validasi Keluarga 
Berisiko Stunting tahun 2023 dan telah ditetapkan dengan SK PD KB Kabupaten dan Kota. 
Pengumpul Data berada di tingkat desa, dengan kriteria :
 a. Diutamakan Tim Pendamping Keluarga (TPK), kader pendata Pendataan Keluarga, kader KB
 lainnya;
 b. Mengenal dan dikenal masyarakat;
 c. Mampu berkomunikasi dengan baik;
 d. Menguasai wilayah kerja;
 e. Memahami tata cara pencatatan verifikasi dan validasi keluarga berisiko stunting;
 ","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Keluarga Berencana,Apa Landasan Dasar SIGA?,"Ketersediaan data dan informasi yang dikelola dalam Sistem Informasi Keluarga (SIGA) merupakan perwujudan amanat UU Nomor 52 Tahun 2009, UU Nomor 23 Tahun 2015, PP Nomor 87 Tahun 2014 dan Peraturan Kepala BKKBN tentang Pengelolaan Data Rutin Program Bangga Kencana. Data rutin dan informasi yang dihasilkan dijadikan sebagai dasar perencanaan, monitoring kinerja serta peta kerja intervensi pada setiap tingkatan wilayah; sehingga dibutuhkan data yang valid dan akurat untuk mendukung pengambilan kebijakan secara tepat.","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Jenis formulir apa saja yang ada di SIGA?,"1. K/0/KB/20, yaitu Kartu Pendaftaran Tempat Pelayan KB
2. R/I/KB/20 yaitu Formulir Register Pelayanan KB
3. R/II/KB/20, yaitu Formulir Register Alat dan Obat Kontrasepsi","Sumber : Panduan Pemutakhiran, Verifikasi dan Validasi Data Keluarga Beresiko Stunting, Pusat Pengendali Data Stunting BKKBN Tahun 2023"
Bangga Kencana,Apa yang dimaksud dengan Pemutakhiran PK?,"Pemutakhiran Pendataan Keluarga adalah kegiatan untuk memutakhirkan data keluarga Indonesia dengan cara melengkapi, memperbaiki, memperbaharui, mencatat mutasi, mencatat migrasi dan mendata keluarga baru yang belum ada dalam Basis Data Keluarga Indonesia hasil PK21, Pemutakhiran PK-22 dan pemutakhiran PK-23.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa tujuan umum dari Pemutakhiran PK?,"1. Tersedianya acuan bagi pengelola data Bangga Kencana di seluruh tingkatan wilayah dalam penyelenggaraan pemutakhiran pendataan keluarga sehingga tersedia basis data keluarga Indonesia yang valid dan akurat. 
 2. Tersedianya acuan bagi pengelola data bangga kencana di wilayah sample terpilih ECDI dalam penyelenggaran pengumpulan data anak usia dini pada umur 24-59 bulan.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa tujuan khusus dari Pemutakhiran PK?,"Tersedianya panduan langkah-langkah penyelenggaraan pemutakhiran pendataan keluarga dan ECDI yang meliputi persiapan, pelaksanaan, penyebarluasan data dan informasi, pemantauan dan evaluasi hasil pemutakhiran pendataan keluarga di setiap tingkatan wilayah.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa saja manfaat dari Pemutakhiran PK-24?,"Secara garis besar, data hasil Pemutakhiran Pendataan Keluarga bermanfaat 
 untuk:
 Peta Sasaran
 1. Penentuan sasaran yang lebih tajam berdasarkan kondisi, potensi dan kebutuhan aktual dari masing-masing keluarga yang ada di setiap tingkatan wilayah
 2. Pemutakhiran peta keluarga berdasarkan indikator strategis
 3. Pemetaan sampel keluarga 
 4. Tersedianya data prelist Penyandang Disabilitas secara BNBA
 5. Tersedianya data anak usia 24-59 bulan untuk pengukuran indeks perkembangan anak usia dini
 
 Program Dukungan dan Sarana Motivasi
 1. Penentuan program dukungan yang sesuai untuk setiap keluarga dan setiap wilayah tertentu.
 2. Peningkatan kualitas kesertaan ber-KB untuk penggunaan metode kontrasepsi yang lebih efektif, aman, dan nyaman. 
 3. Data pensasaran upaya percepatan penghapusan kemiskinan ekstrem dan stunting
 4. Sarana motivasi untuk mendorong setiap keluarga mengikuti kelompok kegiatan bagi keluarga yang memiliki sasaran pembinaan
 5. Sarana motivasi untuk mendorong setiap keluarga mengikuti kelompok kegiatan bagi keluarga yang memiliki sasaran pembinaan.
 
 Program Pembangunan terkait lainnya
 Pemanfaatan hasil Pemutakhiran Pendataan Keluarga tahun 2024 untuk kepentingan pembangunan keluarga melalui keterlibatan sektor lain.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Siapa sasaran Pemutakhiran PK-24?,"- Sasaran keluarga yang didata adalah seluruh keluarga pada wilayah Pemutakhiran PK-24 dengan memprioritaskan keluarga baru, keluarga memiliki Pasangan Usia Subur (PUS), keluarga memiliki balita umur 0-59 bulan serta ibu hamil. 
- Khusus 1.500 desa/kelurahan terpilih sebagai sampel pengukuran indikator ECDI, WAJIB melaksanakan Pra Pelaksanaan Pemutakhiran PK-24.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa saja Variabel dan Indikator Pemutakhiran PK-24?,"a. Penambahan variabel identifikasi disabilitas pada anggota keluarga. 
b. Pengukuran indikator ECDI (Early Chilhood Development Index) pada 15.000 KK memiliki anak usia 2-4 tahun yang terpilih sebagai sampel. ",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan desa/kelurahan sampel pada Lokus dan Sasaran Pemutakhiran PK-24?,Desa/kelurahan sampel merupakan desa/kelurahan yang terpilih sebagai sampel berdasarkan kerangka sampel dan target keluarga terdata yang sudah ditentukan. Pemutakhiran PK-24 pada wilayah sampel ditujukan agar hasil Pemutakhiran PK-24 dapat menggambarkan populasi sehingga Pemutakhiran PK-24 dapat menyediakan data untuk perhitungan indikator kinerja Program Bangga Kencana.,Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan Target KK pada desa/kelurahan sampel pada Lokus dan Sasaran Pemutakhiran PK-24?,Target KK pada desa/kelurahan sampel adalah seluruh keluarga yang ada pada desa/kelurahan sampel baik yang sudah terdata pada Pemutakhiran PK-22 maupun keluarga baru dan keluarga yang tidak terdata pada Pemutakhiran PK-23.,Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan desa/kelurahan prioritas pada Lokus dan Sasaran Pemutakhiran PK-24?,"Desa/kelurahan prioritas merupakan desa/kelurahan yang terpilih sesuai arah kebijakan pelaksanaan Pemutakhiran PK-24 yaitu peningkatan cakupan dan perbaikan kualitas data basis keluarga, sehingga dipilih berdasarkan kriteria tertentu.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa saja Sarana Pengumpulan Data Pemutakhiran PK-24?,"1. Formulir
 Pengumpulan data keluarga dan anggota keluarga pada desa/kelurahan yang ditentukan menggunakan formulir Pemutakhiran Pendataan Keluarga tahun 2024 (F/I/Pemutakhiran PK/24) yang terdiri dari: 
 - Formulir dengan data untuk memutakhirkan data keluarga yang sudah ada pada Basis Data 
 - Formulir kosong untuk mendata keluarga baru 
 - Formulir survey ECDI dengan data yang sudah ada pada Pemutakhiran PK-24 dengan sasaran anak usia 24-59 bulan 
 
 2. Smartphone
- Aplikasi Pemutakhiran PK-24
 Merupakan sarana untuk pengumpulan, penginputan dan perekaman data keluarga dan anggota keluarga pada desa/kelurahan yang ditentukan menggunakan aplikasi berbasis android. Penggumpulan data menggunakan android sebesar 80% disetiap provinsi dari seluruh sasaran (kecuali Provinsi Papua, Papua Barat, Maluku, Maluku Utara dan NTT).

- Aplikasi Pemutakhiran PK24 - ECDI
Merupakan sarana untuk mengumpulkan, menginput dan perekaman data keluarga dan anggota keluarga pada desa/kelurahan yang sudah ditentukan menggunakan aplikasi berbasis android pada desa terpilih sampel ECDI yang sudah dilengkapi validasi (pengaturan otomatis). ",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Bagaimana pengolahan data Pemutakhiran PK-24?,"Pengolahan data setelah dilakukan pengumpulan data oleh kader disesuaikan dengan sarana/tools pengumpulan data yaitu: 
- Pengolahan data dengan smartphone langsung oleh kader 
pendata
- Pengolahan data pada wilayah yang menggunakan metode pengumpulan dengan formulir (paper based) penginputan data dapat dilakukan di tingkat kabupaten/kota jika sarana dan prasarana pengolahan data di kecamatan tidak memadai yang dibuktikan dengan surat pernyataan dari Manajer Pengelolaan Pemutakhiran PK-24 tingkat kecamatan; atau di tingkat provinsi jika di kabupaten/kota tidak terdapat sarana dan prasarana pengolahan data yang memadai yang dibuktikan dengan surat pernyataan dari Kepala PD KB Kabupaten/kota. ",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa saja strategi yang digunakan dalam pelaksanaan Pemutakhiran PK-24?," 1. Memanfaatkan teknologi informasi dalam pengelolaan dan Pemutakhiran PK-24;
 2. Mendayagunakan sumber daya yang ada di lini lapangan dengan mengutamakan SDM lini lapangan yang berpartisipasi pada PK21 maupun Pemutakhiran PK-22 dan Pemutakhiran PK-23;
 3. Mendayagunakan sumber daya yang ada di lini lapangan dengan mengutamakan SDM lini lapangan yang berpartisipasi pada PK21 maupun Pemutakhiran PK-22 dan Pemutakhiran PK-23;
 4. Melakukan pengendalian pembayaran terhadap honor SDM lini lapangan pelaksanaan Pemutakhiran PK-24 dengan memperhatikan prinsip akuntabel dan transparan; 
 5. Melakukan pertemuan koordinasi intensif Tim Posko Pemutakhiran PK-24 dalam memantau dan mengevaluasi perkembangan persiapan pelaksanaan, cakupan dan kualitas keluarga terdata; 
 6. Pemanfaatan anggaran sesuai dengan ketentuan peraturan yang berlaku;
 7. Pengorganisasian lapangan, pengumpulan dan pengolahan data ECDI pada Pemutakhiran PK-24 secara detil ada di dalam Panduan Pemutakhiran PK-24 ECDI yang tidak terpisahkan dari kebijakan dan strategi Pemutakhiran PK-24.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Siapa saja sumber daya manusia yang terlibat dalam pelaksanaan Pemutakhiran PK-24 di tingkat pusat?,"Tingkat Pusat : 
1) BKKBN 
2) Mitra Kerja Terkait : 
- Pemerintah 
- Non Pemerintah ",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Siapa saja sumber daya manusia yang terlibat dalam pelaksanaan Pemutakhiran PK-24 di tingkat provinsi?,"Tingkat Provinsi : 
1) Perwakilan BKKBN Provinsi 
2) Mitra Kerja Terkait : 
- Pemerintah 
- Non Pemerintah",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Siapa saja sumber daya manusia yang terlibat dalam pelaksanaan Pemutakhiran PK-24 di tingkat kabupaten/kota?,"Tingkat Kabupaten dan Kota : 
1) Perangkat Daerah/PD KB Kabupaten dan Kota 
2) Mitra Kerja Terkait : 
- Pemerintah 
- Non Pemerintah ",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Siapa saja sumber daya manusia yang terlibat dalam pelaksanaan Pemutakhiran PK-24 di tingkat lini lapangan?,"Tingkat Lini Lapangan: 
1) Kepala UPT KB/Koordinator KB 
2) PKB/PLKB 
3) PPKBD 
4) Sub PPKBD 
5) Kader Pelaksana Pemutakhiran PK-24 
6) Mitra Kerja Terkait ",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan Pelaksana Pengumpulan Data/Pewawancara?,"Kegiatan pelaksanaan pengumpulan data atau yang melakukan wawancara terhadap keluarga yang didata dilakukan oleh para kader masyarakat, yang terdiri dari kader KB, kader Posyandu, kader Dasa Wisma/PKK, karang Taruna, Saka Kencana/Pramuka dan atau tokoh-tokoh masyarakat setempat.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan Pembina Pengumpulan Data?,Kegiatan pembinaan pengumpulan data dilakukan oleh Penyuluh KB/PLKB atau petugas yang ditunjuk oleh pejabat yang berwenang. Di tingkat desa/kelurahan pengumpulan data dibina oleh Supervisor. Di tingkat kecamatan pengumpulan data dibina oleh Manajer Pengelolaan dan Manajer Data.,Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan Penanggungjawab Wilayah?,"Penanggungjawab kegiatan pendataan keluarga di tingkat 
desa/kelurahan ke bawah adalah Ketua RT, Kepala Dusun/RW, Kepala Desa/Kelurahan, dan Camat.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan Pengawas Pengumpulan Data?,"Kegiatan pengawasan pengumpul data dilakukan oleh Manajer Pengelolaan, PKB/PLKB atau petugas yang ditunjuk oleh pejabat yang berwenang.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa yang dimaksud dengan Manajer Pengelolaan?,"Manajer Pengelolaan adalah seseorang yang melakukan fungsi koordinasi, pengelolaan, 
pengorganisasian, pembinaan pengawasan dan pelaksanaan pemutakhiran pendataan keluarga di kecamatan yang menjadi tanggung jawabnya. Kriteria seseorang yang dapat ditunjuk menjadi Manajer Pengelolaan adalah menguasai kemampuan manajerial dan kepemimpinan. ",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
Bangga Kencana,Apa saja tugas Manajer Pengelolaan?,"Tugas pokok manajer pengelolaan adalah sebagai berikut:
- Mengoordinasikan perencanaan pelaksanaan Pemutakhiran PK-24 kepada pejabat daerah setempat (Camat); 
- Melakukan pengorganisasian lapangan Pemutakhiran PK-24; 
- Melakukan pengelolaan administrasi serta distribusi sarana dan prasarana; 
- Melakukan pembinaan, pemantauan, evaluasi dan pengawasan pelaksanaan Pemutakhiran PK-24; 
- Melakukan persetujuan/approval terhadap data yang akan dikirim ke server setelah dilakukan pemeriksaan data berdasarkan laporan hasil pelaksanaan pengolahan data oleh manajer data.",Sumber : Buku Pedoman Pemutakhiran Pendataan Keluarga Tahun 24
